标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,CPU系列,CPU主频,最高睿频,三级缓存,插槽类型,核心数量,线程数,制作工艺,热设计功耗(TDP),动态加速频率,封装大小
AMD 速龙 X4 860K（盒）,199,,,https://2a.zol-img.com.cn/product/221_320x240/784/ceoWP4NXuaPY.jpg,"适用类型：台式机
CPU系列：速龙 X4
CPU主频：3.7GHz
动态加速频率：4GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：四核心
线程数：四线程",台式机,速龙 X4,3.7GHz,,暂无数据,Socket FM2+,四核心,四线程,,,4GHz,
AMD A6-7400K（盒）,209,,,https://2e.zol-img.com.cn/product/223_320x240/564/cePCeDVDft0s2.jpg,"适用类型：台式机
CPU系列：APU A6
CPU主频：3.5GHz
动态加速频率：3.9GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：双核心
热设计功耗(TDP)：65W",台式机,APU A6,3.5GHz,,暂无数据,Socket FM2+,双核心,,,65W,3.9GHz,
AMD APU系列 A6-7480,210,,,https://2e.zol-img.com.cn/product/196_320x240/484/ceYVPJ3H30tac.jpg,"适用类型：台式机
CPU系列：APU A6
CPU主频：3.5GHz
动态加速频率：3.8GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：双核心
热设计功耗(TDP)：65W",台式机,APU A6,3.5GHz,,暂无数据,Socket FM2+,双核心,,,65W,3.8GHz,
AMD 速龙II X4 870K（盒）,278,,,https://2a.zol-img.com.cn/product/223_320x240/476/ceVQhnI3LxSGc.jpg,"适用类型：台式机
CPU系列：速龙 X4
CPU主频：3.9GHz
动态加速频率：4.1GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：四核心
热设计功耗(TDP)：95W",台式机,速龙 X4,3.9GHz,,暂无数据,Socket FM2+,四核心,,,95W,4.1GHz,
Intel 赛扬 G5900,289,,,https://2a.zol-img.com.cn/product/222_320x240/768/ceQierYz5cwj6.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.4GHz
动态加速频率：暂无数据
三级缓存：2MB
插槽类型：LGA 1200
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.4GHz,,2MB,LGA 1200,双核心,双线程,,,暂无数据,
Intel 赛扬 G5905,290,,,https://2a.zol-img.com.cn/product/222_320x240/768/ceQierYz5cwj6.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.5GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：LGA 1200
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.5GHz,,4MB,LGA 1200,双核心,双线程,,,暂无数据,
AMD A10-9700,329,,,https://2b.zol-img.com.cn/product/223_320x240/219/ce0LQbTLvEMfw.jpg,"适用类型：台式机
CPU系列：APU A10
CPU主频：3.5GHz
动态加速频率：3.8GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：四核心
热设计功耗(TDP)：65W",台式机,APU A10,3.5GHz,,暂无数据,Socket AM4,四核心,,,65W,3.8GHz,
Intel 赛扬 G4930,339,,,https://2f.zol-img.com.cn/product/222_320x240/767/ceZgq4A7laNA2.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.2GHz
动态加速频率：暂无数据
三级缓存：2MB
封装大小：37.5×37.5mm
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.2GHz,,2MB,,双核心,双线程,,,暂无数据,37.5×37.5mm
AMD APU系列 A8-7680,369,,,https://2d.zol-img.com.cn/product/195_320x240/865/ceWuuS82ul6.jpg,"适用类型：台式机
CPU系列：APU A8
CPU主频：3.5GHz
动态加速频率：3.8GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：四核心
热设计功耗(TDP)：45W",台式机,APU A8,3.5GHz,,暂无数据,Socket FM2+,四核心,,,45W,3.8GHz,
Intel 赛扬 G5925,389,,,https://2a.zol-img.com.cn/product/222_320x240/768/ceQierYz5cwj6.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.6GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：LGA 1200
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.6GHz,,4MB,LGA 1200,双核心,双线程,,,暂无数据,
AMD Athlon 200GE,395,,,https://2e.zol-img.com.cn/product/223_320x240/210/ceqsw0nMrt8Y.jpg,"适用类型：台式机
CPU系列：速龙
CPU主频：3.2GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：Socket AM4
核心数量：双核心
线程数：四线程",台式机,速龙,3.2GHz,,4MB,Socket AM4,双核心,四线程,,,暂无数据,
Intel 赛扬 G5920,399,,,https://2a.zol-img.com.cn/product/222_320x240/768/ceQierYz5cwj6.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.5GHz
动态加速频率：暂无数据
三级缓存：2MB
插槽类型：LGA 1200
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.5GHz,,2MB,LGA 1200,双核心,双线程,,,暂无数据,
Intel 奔腾金牌 G6405,430,489.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10036130619501.html,https://2f.zol-img.com.cn/product/224_320x240/189/ceAhegigExXBs.jpg,"适用类型：PC/Tablet
CPU系列：奔腾金牌
CPU主频：4.1GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：LGA1200
核心数量：双核心
线程数：四线程",PC/Tablet,奔腾金牌,4.1GHz,,4MB,LGA1200,双核心,四线程,,,暂无数据,
AMD Athlon 3000G,450,,,https://2a.zol-img.com.cn/product/221_320x240/520/ceT1sWLSBdFI.jpg,"适用类型：台式机
CPU系列：速龙
CPU主频：3.5GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：Socket AM4
核心数量：双核心
线程数：四线程",台式机,速龙,3.5GHz,,4MB,Socket AM4,双核心,四线程,,,暂无数据,
Intel 奔腾金牌 G6400,499,,,https://2a.zol-img.com.cn/product/223_320x240/786/ce5RHJz6DQ4xU.jpg,"适用类型：台式机
CPU系列：奔腾双核
CPU主频：4GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：LGA 1200
核心数量：双核心
线程数：四线程",台式机,奔腾双核,4GHz,,4MB,LGA 1200,双核心,四线程,,,暂无数据,
Intel 奔腾金牌 G5420,509,,,https://2a.zol-img.com.cn/product/223_320x240/792/ce2OKGzsyL0Hk.jpg,"适用类型：台式机
CPU系列：奔腾双核
CPU主频：3.8GHz
动态加速频率：暂无数据
三级缓存：4MB
封装大小：37.5×37.5mm
核心数量：双核心
线程数：四线程",台式机,奔腾双核,3.8GHz,,4MB,,双核心,四线程,,,暂无数据,37.5×37.5mm
Intel 奔腾双核 G4400,538,,,https://2c.zol-img.com.cn/product/223_320x240/788/ceLp9o4zXJhKI.jpg,"适用类型：台式机
CPU系列：奔腾双核
CPU主频：3.3GHz
动态加速频率：暂无数据
三级缓存：3MB
插槽类型：LGA 1151
核心数量：双核心
线程数：双线程",台式机,奔腾双核,3.3GHz,,3MB,LGA 1151,双核心,双线程,,,暂无数据,
AMD Ryzen 3 2200G,539,,,https://2a.zol-img.com.cn/product/188_320x240/598/ceyXzuTFclew.jpg,"适用类型：台式机
CPU系列：Ryzen 3
CPU主频：3.5GHz
动态加速频率：3.7GHz
三级缓存：4MB
插槽类型：Socket AM4
核心数量：四核心
线程数：四线程",台式机,Ryzen 3,3.5GHz,,4MB,Socket AM4,四核心,四线程,,,3.7GHz,
Intel 酷睿i3 10105F,560,,,https://2c.zol-img.com.cn/product/220_320x240/634/ce4iE5Wa3zQPk.jpg,"适用类型：台式机
CPU系列：酷睿i3 10代系列
CPU主频：3.7GHz
最高睿频：4.4GHz
三级缓存：6MB
插槽类型：LGA 1200
核心数量：四核心
线程数：八线程",台式机,酷睿i3 10代系列,3.7GHz,4.4GHz,6MB,LGA 1200,四核心,八线程,,,,
Intel 奔腾 G5500,599,,,https://2c.zol-img.com.cn/product/223_320x240/794/ce7Dp1rOgbI.jpg,"适用类型：台式机
CPU系列：奔腾双核
CPU主频：3.8GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：LGA 1151
核心数量：双核心
线程数：四线程",台式机,奔腾双核,3.8GHz,,4MB,LGA 1151,双核心,四线程,,,暂无数据,
Intel 酷睿i3 10100F,630,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/13903759499.html,https://2b.zol-img.com.cn/product/221_320x240/363/ceiDYJEyX9tek.jpg,"适用类型：台式机
CPU系列：酷睿i3 10代系列
CPU主频：3.6GHz
最高睿频：4.3GHz
三级缓存：6MB
插槽类型：LGA 1200
核心数量：四核心
线程数：八线程",台式机,酷睿i3 10代系列,3.6GHz,4.3GHz,6MB,LGA 1200,四核心,八线程,,,,
Intel 奔腾金牌 G7400,679,,,https://2f.zol-img.com.cn/product/223_320x240/845/ceammDbO25ZKg.jpg,"适用类型：台式机
CPU系列：奔腾双核
CPU主频：3.7GHz
动态加速频率：暂无数据
三级缓存：6MB
插槽类型：LGA 1700
核心数量：双核心
线程数：四线程",台式机,奔腾双核,3.7GHz,,6MB,LGA 1700,双核心,四线程,,,暂无数据,
Intel 酷睿 i3 14100F,699,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100086706802.html,https://2a.zol-img.com.cn/product/270_320x240/696/ceM6x6X4a1Q.jpg,"适用类型：台式机
CPU系列：酷睿i3 14代系列
CPU主频：3.5GHz
最高睿频：4.7GHz
三级缓存：12MB
插槽类型：LGA 1700
核心数量：4核心
线程数：8线程",台式机,酷睿i3 14代系列,3.5GHz,4.7GHz,12MB,LGA 1700,4核心,8线程,,,,
AMD Ryzen 3 4100,699,,,https://2a.zol-img.com.cn/product/221_320x240/280/ceiS91FzRDb9M.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 3 4000
CPU主频：3.8GHz
动态加速频率：4GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：四核心
线程数：八线程",台式机,AMD Ryzen 3 4000,3.8GHz,,暂无数据,Socket AM4,四核心,八线程,,,4GHz,
AMD Ryzen 3 3100,779,,,https://2b.zol-img.com.cn/product/205_320x240/831/ceaI9l0MHpT6.jpg,"适用类型：台式机
CPU系列：Ryzen 3
CPU主频：3.6GHz
动态加速频率：3.9GHz
三级缓存：16MB
插槽类型：Socket AM4
核心数量：四核心
线程数：八线程",台式机,Ryzen 3,3.6GHz,,16MB,Socket AM4,四核心,八线程,,,3.9GHz,
AMD Ryzen 3 PRO 3200G,789,,,https://2b.zol-img.com.cn/product/223_320x240/173/cefldBFUE3No.jpg,"适用类型：台式机
CPU系列：Ryzen 3 PRO
CPU主频：3.6GHz
动态加速频率：4GHz
三级缓存：4MB
插槽类型：AM4
核心数量：四核心
线程数：四线程",台式机,Ryzen 3 PRO,3.6GHz,,4MB,AM4,四核心,四线程,,,4GHz,
Intel 酷睿i3 10105,790,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10057134757434.html,https://2c.zol-img.com.cn/product/220_320x240/984/ceEACyOgsqc9c.jpg,"适用类型：台式机
CPU系列：酷睿i3 10代系列
CPU主频：3.7GHz
最高睿频：4.4GHz
三级缓存：6MB
插槽类型：LGA 1200
核心数量：四核心
线程数：八线程",台式机,酷睿i3 10代系列,3.7GHz,4.4GHz,6MB,LGA 1200,四核心,八线程,,,,
AMD Ryzen Threadripper 1920X,799,,,https://2f.zol-img.com.cn/product/221_320x240/201/ceDD6L9i7WFLc.jpg,"适用类型：台式机
CPU系列：AMD Ryzen Threadripper 1000
CPU主频：3.5GHz
动态加速频率：4GHz
三级缓存：32MB
插槽类型：Socket TR4
核心数量：十二核心
线程数：二十四线程",台式机,AMD Ryzen Threadripper 1000,3.5GHz,,32MB,Socket TR4,十二核心,二十四线程,,,4GHz,
Intel 酷睿i3 9100F,799,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10090395528085.html,https://2c.zol-img.com.cn/product/221_320x240/490/ceWaftSBEiVFI.jpg,"适用类型：台式机
CPU系列：酷睿i3 9代系列
CPU主频：3.6GHz
最高睿频：4.2GHz
三级缓存：6MB
插槽类型：LGA 1151
核心数量：四核心
线程数：四线程",台式机,酷睿i3 9代系列,3.6GHz,4.2GHz,6MB,LGA 1151,四核心,四线程,,,,
Intel 酷睿 i3 12100F,850,549.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10036126341929.html,https://2f.zol-img.com.cn/product/221_320x240/145/ceJWoexPEVoc.jpg,"适用类型：台式机
CPU系列：酷睿i3 12代系列
CPU主频：3.3GHz
最高睿频：4.3GHz
三级缓存：12MB
插槽类型：LGA 1700
核心数量：四核心
线程数：八线程",台式机,酷睿i3 12代系列,3.3GHz,4.3GHz,12MB,LGA 1700,四核心,八线程,,,,
Intel 酷睿i3 8350K,869,235.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10099506812721.html,https://2f.zol-img.com.cn/product/223_320x240/167/ce7vkOFfAgI.jpg,"适用类型：台式机
CPU系列：酷睿i3 8代系列
CPU主频：4GHz
动态加速频率：暂无数据
三级缓存：8MB
插槽类型：LGA 1151
核心数量：四核心
线程数：四线程",台式机,酷睿i3 8代系列,4GHz,,8MB,LGA 1151,四核心,四线程,,,暂无数据,
Intel 酷睿i5 10400F,880,589.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100006897507.html,https://2e.zol-img.com.cn/product/223_320x240/194/cePwWOhsarBI.jpg,"适用类型：台式机
CPU系列：酷睿i5 10代系列
CPU主频：2.9GHz
最高睿频：4.3GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 10代系列,2.9GHz,4.3GHz,12MB,LGA 1200,六核心,十二线程,,,,
Intel 酷睿i3 10100,899,,,https://2b.zol-img.com.cn/product/221_320x240/369/cebZKGryyTQDc.jpg,"适用类型：台式机
CPU系列：酷睿i3 10代系列
CPU主频：3.6GHz
最高睿频：4.3GHz
三级缓存：6MB
插槽类型：LGA 1200
核心数量：四核心
线程数：八线程",台式机,酷睿i3 10代系列,3.6GHz,4.3GHz,6MB,LGA 1200,四核心,八线程,,,,
AMD Ryzen 7 2700,899,,,https://2c.zol-img.com.cn/product/223_320x240/216/cepNPe30mMvXA.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 7 2000
CPU主频：3.2GHz
动态加速频率：4.1GHz
三级缓存：16MB
插槽类型：Socket AM4
核心数量：八核心
线程数：十六线程",台式机,AMD Ryzen 7 2000,3.2GHz,,16MB,Socket AM4,八核心,十六线程,,,4.1GHz,
Intel 酷睿i3 8100,899,140.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10099506812718.html,https://2d.zol-img.com.cn/product/223_320x240/153/ceC0gTVQqa7Xg.jpg,"适用类型：台式机
CPU系列：酷睿i3 8代系列
CPU主频：3.6GHz
动态加速频率：暂无数据
三级缓存：6MB
插槽类型：LGA 1151
核心数量：四核心
线程数：四线程",台式机,酷睿i3 8代系列,3.6GHz,,6MB,LGA 1151,四核心,四线程,,,暂无数据,
AMD Ryzen 3 3300X,899,,,https://2a.zol-img.com.cn/product/205_320x240/812/ceHH01GdYNz1E.jpg,"适用类型：台式机
CPU系列：Ryzen 3
CPU主频：3.8GHz
动态加速频率：4.3GHz
三级缓存：16MB
插槽类型：Socket AM4
核心数量：四核心
线程数：八线程",台式机,Ryzen 3,3.8GHz,,16MB,Socket AM4,四核心,八线程,,,4.3GHz,
AMD Ryzen 5 5500GT,939,,,https://2d.zol-img.com.cn/product/259_320x240/733/ceEVbKQy8iSOA.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 5000系列
CPU主频：3.6GHz
动态加速频率：4.4GHz
三级缓存：16MB
插槽类型：Socket AM4
核心数量：6核心
线程数：12线程",台式机,AMD Ryzen 5 5000系列,3.6GHz,,16MB,Socket AM4,6核心,12线程,,,4.4GHz,
AMD Ryzen 5 4500,939,399.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10048328150391.html,https://2a.zol-img.com.cn/product/218_320x240/770/ce7Y9pwUQ4wDk.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 4000
CPU主频：3.6GHz
动态加速频率：4.1GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 4000,3.6GHz,,暂无数据,Socket AM4,六核心,十二线程,,,4.1GHz,
Intel 酷睿 i3 13100F,949,,,https://2d.zol-img.com.cn/product/226_320x240/437/ceLN4opg0nnN6.png,"CPU系列：酷睿i3 13代系列
适用类型：暂无数据
CPU主频：3.4GHz
最高睿频：4.5GHz
三级缓存：12MB
插槽类型：LGA 1700
核心数量：四核心
线程数：八线程",暂无数据,酷睿i3 13代系列,3.4GHz,4.5GHz,12MB,LGA 1700,四核心,八线程,,,,
AMD Ryzen 3 3200G,950,779.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100007764578.html,https://2c.zol-img.com.cn/product/201_320x240/558/ceqgj8Y6m7Bg.jpg,"适用类型：台式机
CPU系列：Ryzen 3
CPU主频：3.6GHz
动态加速频率：4GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：四核心
线程数：四线程",台式机,Ryzen 3,3.6GHz,,暂无数据,Socket AM4,四核心,四线程,,,4GHz,
Intel 酷睿 i3 12100,990,849.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10027803346517.html,https://2e.zol-img.com.cn/product/221_320x240/144/ceJUKcloJ1Io.jpg,"适用类型：台式机
CPU系列：酷睿i3 12代系列
CPU主频：3.3GHz
最高睿频：4.3GHz
三级缓存：12MB
插槽类型：LGA 1700
核心数量：四核心
线程数：八线程",台式机,酷睿i3 12代系列,3.3GHz,4.3GHz,12MB,LGA 1700,四核心,八线程,,,,
AMD Ryzen 5 PRO 4650G,999,,,https://2f.zol-img.com.cn/product/223_320x240/901/cegTtH5kMLp0g.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 4000
CPU主频：3.7GHz
动态加速频率：4.2GHz
三级缓存：8MB
插槽类型：Socket AM4
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 4000,3.7GHz,,8MB,Socket AM4,六核心,十二线程,,,4.2GHz,
Intel 酷睿i3 9350KF,999,,,https://2e.zol-img.com.cn/product/221_320x240/492/ceSOtONlEYlCI.jpg,"适用类型：台式机
CPU系列：酷睿i3 9代系列
CPU主频：4GHz
最高睿频：4.6GHz
三级缓存：8MB
插槽类型：LGA 1151
核心数量：四核心
线程数：四线程",台式机,酷睿i3 9代系列,4GHz,4.6GHz,8MB,LGA 1151,四核心,四线程,,,,
AMD Ryzen 5 5600GT,1049,829.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100085063817.html,https://2b.zol-img.com.cn/product/259_320x240/743/ceB5GqQaczcJo.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 5000系列
CPU主频：3.6GHz
动态加速频率：4.6GHz
三级缓存：16MB
插槽类型：Socket AM4
核心数量：6核心
线程数：12线程",台式机,AMD Ryzen 5 5000系列,3.6GHz,,16MB,Socket AM4,6核心,12线程,,,4.6GHz,
AMD Ryzen 5 3500X,1099,429.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/67896139622.html,https://2b.zol-img.com.cn/product/222_320x240/317/celgb7zFCuSxs.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 3000
CPU主频：3.6GHz
动态加速频率：4.1GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：六核心
线程数：六线程",台式机,AMD Ryzen 5 3000,3.6GHz,,32MB,Socket AM4,六核心,六线程,,,4.1GHz,
Intel 奔腾 G5400,1099,,,https://2f.zol-img.com.cn/product/223_320x240/785/ceYKh77z1Dov6.jpg,"适用类型：台式机
CPU系列：奔腾双核
CPU主频：3.7GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：LGA 1151
核心数量：双核心
线程数：四线程",台式机,奔腾双核,3.7GHz,,4MB,LGA 1151,双核心,四线程,,,暂无数据,
AMD Ryzen 5 5500,1099,429.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10048328150392.html,https://2c.zol-img.com.cn/product/220_320x240/748/ceAFZXHup6qN6.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 5000
CPU主频：3.6GHz
动态加速频率：4.2GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 5000,3.6GHz,,暂无数据,Socket AM4,六核心,十二线程,,,4.2GHz,
Intel 酷睿i5 9400F,1119,320.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10092136983722.html,https://2c.zol-img.com.cn/product/220_320x240/898/ceFftsJaWtghc.jpg,"适用类型：台式机
CPU系列：酷睿i5 9代系列
CPU主频：2.9GHz
最高睿频：4.1GHz
三级缓存：9MB
插槽类型：LGA 1151
核心数量：六核心
线程数：六线程",台式机,酷睿i5 9代系列,2.9GHz,4.1GHz,9MB,LGA 1151,六核心,六线程,,,,
Intel 酷睿i5 11400F,1130,,,https://2a.zol-img.com.cn/product/221_320x240/96/cehlcA8XNAYf2.jpg,"适用类型：台式机
CPU系列：酷睿i5 11代系列
CPU主频：2.6GHz
最高睿频：4.4GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 11代系列,2.6GHz,4.4GHz,12MB,LGA 1200,六核心,十二线程,,,,
Intel 酷睿i5 10400,1180,1809.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059513800794.html,https://2f.zol-img.com.cn/product/223_320x240/195/ceOicxTWpderQ.jpg,"适用类型：台式机
CPU系列：酷睿i5 10代系列
CPU主频：2.9GHz
最高睿频：4.3GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 10代系列,2.9GHz,4.3GHz,12MB,LGA 1200,六核心,十二线程,,,,
AMD Ryzen 5 3600,1199,1239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10036373067007.html,https://2a.zol-img.com.cn/product/220_320x240/308/cebVMjCuiTkCc.png,"适用类型：台式机
CPU系列：AMD Ryzen 5 3000
CPU主频：3.6GHz
动态加速频率：4.2GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 3000,3.6GHz,,32MB,Socket AM4,六核心,十二线程,,,4.2GHz,
AMD Ryzen 5 3400G,1210,,,https://2c.zol-img.com.cn/product/222_320x240/300/cepyJuoejlfSY.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 3000
CPU主频：3.7GHz
动态加速频率：4.2GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：四核心
线程数：八线程",台式机,AMD Ryzen 5 3000,3.7GHz,,暂无数据,Socket AM4,四核心,八线程,,,4.2GHz,
Intel 酷睿 i5 12400F,1210,839.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100031035610.html,https://2c.zol-img.com.cn/product/220_320x240/648/ceCLWjtv5tp4o.jpg,"适用类型：台式机
CPU系列：酷睿i5 12代系列
CPU主频：2.5GHz
最高睿频：4.4GHz
三级缓存：18MB
插槽类型：LGA 1700
核心数量：暂无数据
线程数：暂无数据",台式机,酷睿i5 12代系列,2.5GHz,4.4GHz,18MB,LGA 1700,暂无数据,暂无数据,,,,
