标题,品牌,系列,型号,参考价,京东价
AMD 速龙 X4 860K（盒）,AMD,速龙 X4,860K（盒）,￥199,
AMD A6-7400K（盒）,AMD,,AMD A6-7400K（盒）,￥209,
AMD APU系列 A6-7480,AMD,APU系列,A6-7480,￥210,
AMD 速龙II X4 870K（盒）,AMD,速龙II X4,870K（盒）,￥278,
Intel 赛扬 G5900,Intel,赛扬,G5900,￥289,
Intel 赛扬 G5905,Intel,赛扬,G5905,￥290,
AMD A10-9700,AMD,,AMD A10-9700,￥329,
Intel 赛扬 G4930,Intel,赛扬,G4930,￥339,
AMD APU系列 A8-7680,AMD,APU系列,A8-7680,￥369,
Intel 赛扬 G5925,Intel,赛扬,G5925,￥389,
AMD Athlon 200GE,AMD,Athlon,200GE,￥395,
Intel 赛扬 G5920,Intel,赛扬,G5920,￥399,
Intel 奔腾金牌 G6405,Intel,奔腾金牌,G6405,￥430,¥549
AMD Athlon 3000G,AMD,Athlon,3000G,￥450,
Intel 奔腾金牌 G6400,Intel,奔腾金牌,G6400,￥499,
Intel 奔腾金牌 G5420,Intel,奔腾金牌,G5420,￥509,
Intel 奔腾双核 G4400,Intel,奔腾双核,G4400,￥538,
AMD Ryzen 3 2200G,AMD,Ryzen 3,2200G,￥539,
Intel 酷睿i3 10105F,Intel,酷睿i3,10105F,￥560,
Intel 奔腾 G5500,Intel,奔腾,G5500,￥599,
Intel 酷睿i3 10100F,Intel,酷睿i3,10100F,￥630,¥899
Intel 奔腾金牌 G7400,Intel,奔腾金牌,G7400,￥679,
Intel 酷睿 i3 14100F,Intel,酷睿 i3,14100F,￥699,¥699
AMD Ryzen 3 4100,AMD,Ryzen 3,4100,￥699,
AMD Ryzen 3 3100,AMD,Ryzen 3,3100,￥779,
AMD Ryzen 3 PRO 3200G,AMD,,AMD Ryzen 3 PRO 3200G,￥789,
Intel 酷睿i3 10105,Intel,酷睿i3,10105,￥790,¥799
Intel 酷睿i3 9100F,Intel,酷睿i3,9100F,￥799,¥145
AMD Ryzen Threadripper 1920X,AMD,Ryzen Threadripper,1920X,￥799,
Intel 酷睿 i3 12100F,Intel,酷睿 i3,12100F,￥850,¥599
Intel 酷睿i3 8350K,Intel,酷睿i3,8350K,￥869,¥219
Intel 酷睿i5 10400F,Intel,酷睿i5,10400F,￥880,¥599
Intel 酷睿i3 10100,Intel,酷睿i3,10100,￥899,
Intel 酷睿i3 8100,Intel,酷睿i3,8100,￥899,¥130
AMD Ryzen 3 3300X,AMD,Ryzen 3,3300X,￥899,
AMD Ryzen 7 2700,AMD,Ryzen 7,2700,￥899,
AMD Ryzen 5 5500GT,AMD,Ryzen 5,5500GT,￥939,¥709
AMD Ryzen 5 4500,AMD,Ryzen 5,4500,￥939,¥389
Intel 酷睿 i3 13100F,Intel,酷睿 i3,13100F,￥949,
AMD Ryzen 3 3200G,AMD,Ryzen 3,3200G,￥950,¥779
Intel 酷睿 i3 12100,Intel,酷睿 i3,12100,￥990,¥899
AMD Ryzen 5 PRO 4650G,AMD,,AMD Ryzen 5 PRO 4650G,￥999,
Intel 酷睿i3 9350KF,Intel,酷睿i3,9350KF,￥999,
AMD Ryzen 5 5600GT,AMD,Ryzen 5,5600GT,￥1049,¥829
AMD Ryzen 5 3500X,AMD,Ryzen 5,3500X,￥1099,¥429
Intel 奔腾 G5400,Intel,奔腾,G5400,￥1099,
AMD Ryzen 5 5500,AMD,Ryzen 5,5500,￥1099,¥459
Intel 酷睿i5 9400F,Intel,酷睿i5,9400F,￥1119,¥340
Intel 酷睿i5 11400F,Intel,酷睿i5,11400F,￥1130,
Intel 酷睿i5 10400,Intel,酷睿i5,10400,￥1180,¥1829
AMD Ryzen 5 3600,AMD,Ryzen 5,3600,￥1199,¥1239
AMD Ryzen 5 3400G,AMD,Ryzen 5,3400G,￥1210,
Intel 酷睿 i5 12400F,Intel,酷睿 i5,12400F,￥1210,¥839
Intel 酷睿i5 10600KF,Intel,酷睿i5,10600KF,￥1230,¥540
AMD Ryzen 5 7500F,AMD,Ryzen 5,7500F,￥1239,¥999
Intel 酷睿 i5 12490F,Intel,酷睿 i5,12490F,￥1280,¥739
Intel 酷睿i3 9100,Intel,酷睿i3,9100,￥1299,
Intel 酷睿i5 9600KF,Intel,酷睿i5,9600KF,￥1299,
Intel 酷睿i5 11400,Intel,酷睿i5,11400,￥1359,
AMD Ryzen 5 5600,AMD,Ryzen 5,5600,￥1359,¥604
AMD Ryzen 7 2700X,AMD,Ryzen 7,2700X,￥1399,
Intel 酷睿i5 9400,Intel,酷睿i5,9400,￥1399,¥539
Intel 酷睿i5 10500,Intel,酷睿i5,10500,￥1449,¥748
Intel 酷睿 i5 12400,Intel,酷睿 i5,12400,￥1480,¥1129
Intel 酷睿 i5 14490F,Intel,酷睿 i5,14490F,￥1499,¥1149
AMD Ryzen 5 5600X,AMD,Ryzen 5,5600X,￥1510,¥659
AMD Ryzen 5 7600,AMD,Ryzen 5,7600,￥1549,
AMD Ryzen 5 5600G,AMD,Ryzen 5,5600G,￥1599,¥779
Intel 酷睿 i5 13490F,Intel,酷睿 i5,13490F,￥1599,¥819
Intel 酷睿i5 8500T,Intel,酷睿i5,8500T,￥1599,
Intel 酷睿i5 9600K,Intel,酷睿i5,9600K,￥1649,
Intel 酷睿i5 8400,Intel,酷睿i5,8400,￥1689,¥349
Intel 酷睿 i5 13400F,Intel,酷睿 i5,13400F,￥1699,¥1029
Intel 酷睿i5 11600KF,Intel,酷睿i5,11600KF,￥1699,
AMD Ryzen 7 3700X,AMD,Ryzen 7,3700X,￥1729,
AMD Ryzen 5 3600X,AMD,Ryzen 5,3600X,￥1749,¥698
Intel 酷睿i5 11500,Intel,酷睿i5,11500,￥1799,
Intel 酷睿 i5 13400,Intel,酷睿 i5,13400,￥1799,¥999
Intel 酷睿 i5 12600KF,Intel,酷睿 i5,12600KF,￥1830,¥977
Intel 酷睿i5 9500,Intel,酷睿i5,9500,￥1849,
Intel 酷睿i5 10600K,Intel,酷睿i5,10600K,￥1849,
AMD Ryzen 5 3600XT,AMD,Ryzen 5,3600XT,￥1859,
Intel 酷睿i7 10700F,Intel,酷睿i7,10700F,￥1890,
AMD Ryzen 7 7700,AMD,Ryzen 7,7700,￥1899,¥1019
Intel 酷睿 i5 12600K,Intel,酷睿 i5,12600K,￥1930,¥1449
Intel 酷睿i5 11600K,Intel,酷睿i5,11600K,￥1949,
Intel 酷睿i5 8600K,Intel,酷睿i5,8600K,￥1999,
Intel 酷睿i5 7500,Intel,酷睿i5,7500,￥1999,
AMD Ryzen 7 5700X,AMD,Ryzen 7,5700X,￥1999,¥799
Intel 酷睿i5 11600,Intel,酷睿i5,11600,￥2000,
Intel Xeon E 2224,Intel,Xeon E,2224,￥2080,
Intel 酷睿i5 8600,Intel,酷睿i5,8600,￥2099,
AMD Ryzen 7 PRO 4750G,AMD,,AMD Ryzen 7 PRO 4750G,￥2099,
Intel 酷睿i7 10700K 复仇者联盟珍藏版,Intel,酷睿i7 10700K,复仇者联盟珍藏版,￥2150,
Intel 酷睿i7 9700KF,Intel,酷睿i7,9700KF,￥2169,
Intel 酷睿i7 10700KF,Intel,酷睿i7,10700KF,￥2199,
Intel 酷睿i7 10700,Intel,酷睿i7,10700,￥2230,¥2919
AMD Ryzen 5 7600X,AMD,Ryzen 5,7600X,￥2249,¥1249
Intel 酷睿 i7 12700F,Intel,酷睿 i7,12700F,￥2280,¥1999
Intel 酷睿 Ultra 5 245KF,Intel,,Intel 酷睿 Ultra 5 245KF,￥2299,¥1999
Intel 酷睿i7 11700,Intel,酷睿i7,11700,￥2300,
Intel 酷睿i7 11700F,Intel,酷睿i7,11700F,￥2349,
Intel Xeon E 2224G,Intel,Xeon E,2224G,￥2380,¥2954
Intel 酷睿i7 9700F,Intel,酷睿i7,9700F,￥2399,¥789
Intel 酷睿i9 9900KF,Intel,酷睿i9,9900KF,￥2399,
Intel 酷睿i7 11700K,Intel,酷睿i7,11700K,￥2430,
Intel 酷睿 i7 12700,Intel,酷睿 i7,12700,￥2430,¥2099
Intel 酷睿i7 8086K（限量版）,Intel,酷睿i7,8086K（限量版）,￥2439,
AMD Ryzen 7 5800X,AMD,Ryzen 7,5800X,￥2480,¥1599
Intel 酷睿 i5 14600KF,Intel,酷睿 i5,14600KF,￥2499,¥1409
Intel 酷睿 Ultra 5 245K,Intel,,Intel 酷睿 Ultra 5 245K,￥2499,¥2099
Intel 酷睿i7 9700K,Intel,酷睿i7,9700K,￥2499,¥998
AMD Ryzen 7 5700G,AMD,Ryzen 7,5700G,￥2599,¥959
Intel 酷睿 i5 14600K,Intel,酷睿 i5,14600K,￥2599,¥1699
Intel 酷睿i7 9700,Intel,酷睿i7,9700,￥2599,¥919
AMD Ryzen 7 3800X,AMD,Ryzen 7,3800X,￥2599,
Intel 酷睿 i5 13600K,Intel,酷睿 i5,13600K,￥2599,¥1649
Intel 酷睿 i5 13600KF,Intel,酷睿 i5,13600KF,￥2600,¥1229
AMD Ryzen 7 2700X纪念版,AMD,Ryzen 7,2700X纪念版,￥2699,
Intel 酷睿i7 9800X,Intel,酷睿i7,9800X,￥2699,
Intel 酷睿i7 10700K,Intel,酷睿i7,10700K,￥2699,
Intel 酷睿 i7 12700KF,Intel,酷睿 i7,12700KF,￥2730,¥1404
Intel Xeon E 2234,Intel,Xeon E,2234,￥2780,
Intel 酷睿i7 8700K,Intel,酷睿i7,8700K,￥2799,¥3629
AMD Ryzen 7 5800X3D,AMD,Ryzen 7,5800X3D,￥2799,¥1679
AMD Ryzen 9 5900X,AMD,Ryzen 9,5900X,￥2800,
Intel 酷睿 i7 12700K,Intel,酷睿 i7,12700K,￥2830,¥1799
AMD Ryzen 7 9700X,AMD,Ryzen 7,9700X,￥2849,¥1859
Intel 酷睿i7 8700,Intel,酷睿i7,8700,￥2859,¥679
Intel 酷睿i7 7700,Intel,酷睿i7,7700,￥2898,¥3189
Intel 酷睿i7 11700KF,Intel,酷睿i7,11700KF,￥2899,
Intel Xeon E 2244G,Intel,Xeon E,2244G,￥2899,
AMD Ryzen 9 3900X,AMD,Ryzen 9,3900X,￥2939,
Intel 酷睿i9 10900X,Intel,酷睿i9,10900X,￥2980,¥3799
AMD Ryzen 7 3800XT,AMD,Ryzen 7,3800XT,￥2999,
Intel 酷睿 i7 13790F,Intel,酷睿 i7,13790F,￥2999,¥2299
AMD Ryzen 7 7700X,AMD,Ryzen 7,7700X,￥2999,
Intel 酷睿 i7 13700,Intel,酷睿 i7,13700,￥3049,¥3099
Intel 酷睿i9 9900K,Intel,酷睿i9,9900K,￥3049,
Intel Xeon E 2236,Intel,Xeon E,2236,￥3080,
Intel 酷睿i9 10900F,Intel,酷睿i9,10900F,￥3099,
AMD Ryzen 7 7800X3D,AMD,Ryzen 7,7800X3D,￥3099,¥2599
Intel 酷睿 Ultra 7 265K,Intel,,Intel 酷睿 Ultra 7 265K,￥3199,¥2399
AMD Ryzen 9 7900,AMD,Ryzen 9,7900,￥3199,
