品牌,商品名称,商品编号,系列,价格,店铺名称
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600KF,商品编号：100069427196,系列：酷睿i5,￥1449.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 7 9700X,商品编号：100109234839,系列：锐龙 R7,￥2059.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-12600KF,商品编号：100026951642,系列：酷睿i5,￥1099.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700KF,商品编号：100070072259,系列：酷睿i7,￥2399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔 i5-12490F,商品编号：100037299996,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7500F,商品编号：100059227024,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13490F,商品编号：100044164608,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 5600GT,商品编号：100085063817,系列：锐龙 R5,￥,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9950X,商品编号：100110580223,系列：锐龙 R9,￥4399.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 5 9600X,商品编号：100110580225,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔265K,商品编号：100120799071,系列：酷睿Ultra 7,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700X,商品编号：100020455567,系列：锐龙 R7,组合价￥暂无报价,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700G,商品编号：100012989117,系列：锐龙 R7,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900K,商品编号：100070072275,系列：酷睿i9,￥3399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔285K,商品编号：100145512952,系列：酷睿Ultra 9,￥4699.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙7 7800X3D,商品编号：100046394400,系列：锐龙 R7,￥3199.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9900X,商品编号：100110580201,系列：锐龙 R9,￥3049.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5600,商品编号：100035814972,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900KF,商品编号：100069427204,系列：酷睿i9,￥3199.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700K,商品编号：100070072261,系列：酷睿i7,￥2798.90,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5500,商品编号：100020455565,系列：锐龙 R5,￥459.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600K,商品编号：100070072273,系列：酷睿i5,￥1799.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400F,商品编号：100049450275,系列：酷睿i5,￥1029.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400,商品编号：100049450205,系列：酷睿i5,￥1499.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7600X 处理器,商品编号：100039537655,系列：锐龙 R5,￥1299.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600KF,商品编号：100069427196,系列：酷睿i5,￥1449.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 7 9700X,商品编号：100109234839,系列：锐龙 R7,￥2059.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-12600KF,商品编号：100026951642,系列：酷睿i5,￥1099.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700KF,商品编号：100070072259,系列：酷睿i7,￥2399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔 i5-12490F,商品编号：100037299996,系列：酷睿i5,￥739.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7500F,商品编号：100059227024,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13490F,商品编号：100044164608,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 5600GT,商品编号：100085063817,系列：锐龙 R5,￥,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9950X,商品编号：100110580223,系列：锐龙 R9,￥4399.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 5 9600X,商品编号：100110580225,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔265K,商品编号：100120799071,系列：酷睿Ultra 7,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700X,商品编号：100020455567,系列：锐龙 R7,￥,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700G,商品编号：100012989117,系列：锐龙 R7,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900K,商品编号：100070072275,系列：酷睿i9,￥3399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔285K,商品编号：100145512952,系列：酷睿Ultra 9,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙7 7800X3D,商品编号：100046394400,系列：锐龙 R7,￥3199.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9900X,商品编号：100110580201,系列：锐龙 R9,￥3049.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5600,商品编号：100035814972,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900KF,商品编号：100069427204,系列：酷睿i9,￥3199.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700K,商品编号：100070072261,系列：酷睿i7,￥2798.90,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5500,商品编号：100020455565,系列：锐龙 R5,￥459.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600K,商品编号：100070072273,系列：酷睿i5,￥1799.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400F,商品编号：100049450275,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400,商品编号：100049450205,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7600X 处理器,商品编号：100039537655,系列：锐龙 R5,￥1299.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙9 7950X 处理器,商品编号：100039537667,系列：锐龙 R9,￥3469.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 8600G,商品编号：100091921754,系列：锐龙 R5,￥1249.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-10400F,商品编号：100006897507,系列：酷睿i5,￥599.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔245K,商品编号：100145512964,系列：酷睿Ultra 5,￥2099.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-12700K,商品编号：100026922744,系列：酷睿i7,￥2049.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 8500G,商品编号：100085063819,系列：锐龙 R5,￥969.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔265KF,商品编号：100120799085,系列：酷睿Ultra 7,￥2499.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600KF,商品编号：100069427196,系列：酷睿i5,￥1449.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 7 9700X,商品编号：100109234839,系列：锐龙 R7,￥2059.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-12600KF,商品编号：100026951642,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700KF,商品编号：100070072259,系列：酷睿i7,￥2399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔 i5-12490F,商品编号：100037299996,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7500F,商品编号：100059227024,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13490F,商品编号：100044164608,系列：酷睿i5,￥819.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 5600GT,商品编号：100085063817,系列：锐龙 R5,￥,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9950X,商品编号：100110580223,系列：锐龙 R9,￥4399.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 5 9600X,商品编号：100110580225,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔265K,商品编号：100120799071,系列：酷睿Ultra 7,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700X,商品编号：100020455567,系列：锐龙 R7,组合价￥暂无报价,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700G,商品编号：100012989117,系列：锐龙 R7,￥959.00京东价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900K,商品编号：100070072275,系列：酷睿i9,￥3399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔285K,商品编号：100145512952,系列：酷睿Ultra 9,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙7 7800X3D,商品编号：100046394400,系列：锐龙 R7,￥3199.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9900X,商品编号：100110580201,系列：锐龙 R9,￥3049.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5600,商品编号：100035814972,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900KF,商品编号：100069427204,系列：酷睿i9,￥3199.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700K,商品编号：100070072261,系列：酷睿i7,￥2798.90,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5500,商品编号：100020455565,系列：锐龙 R5,￥459.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600K,商品编号：100070072273,系列：酷睿i5,￥1799.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400F,商品编号：100049450275,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400,商品编号：100049450205,系列：酷睿i5,￥1499.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7600X 处理器,商品编号：100039537655,系列：锐龙 R5,￥1299.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙9 7950X 处理器,商品编号：100039537667,系列：锐龙 R9,￥3469.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 8600G,商品编号：100091921754,系列：锐龙 R5,￥1249.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-10400F,商品编号：100006897507,系列：酷睿i5,￥599.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔245K,商品编号：100145512964,系列：酷睿Ultra 5,￥2099.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-12700K,商品编号：100026922744,系列：酷睿i7,￥2049.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 8500G,商品编号：100085063819,系列：锐龙 R5,￥969.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔265KF,商品编号：100120799085,系列：酷睿Ultra 7,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600KF,商品编号：100069427196,系列：酷睿i5,￥1449.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 7 9700X,商品编号：100109234839,系列：锐龙 R7,￥2059.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-12600KF,商品编号：100026951642,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700KF,商品编号：100070072259,系列：酷睿i7,￥2399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔 i5-12490F,商品编号：100037299996,系列：酷睿i5,￥739.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7500F,商品编号：100059227024,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13490F,商品编号：100044164608,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 5600GT,商品编号：100085063817,系列：锐龙 R5,￥,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9950X,商品编号：100110580223,系列：锐龙 R9,￥4399.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 5 9600X,商品编号：100110580225,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔265K,商品编号：100120799071,系列：酷睿Ultra 7,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700X,商品编号：100020455567,系列：锐龙 R7,组合价￥暂无报价,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700G,商品编号：100012989117,系列：锐龙 R7,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900K,商品编号：100070072275,系列：酷睿i9,￥3399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔285K,商品编号：100145512952,系列：酷睿Ultra 9,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙7 7800X3D,商品编号：100046394400,系列：锐龙 R7,￥3199.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9900X,商品编号：100110580201,系列：锐龙 R9,￥3049.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5600,商品编号：100035814972,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900KF,商品编号：100069427204,系列：酷睿i9,￥3199.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700K,商品编号：100070072261,系列：酷睿i7,￥2798.90,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5500,商品编号：100020455565,系列：锐龙 R5,￥459.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600K,商品编号：100070072273,系列：酷睿i5,￥1799.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400F,商品编号：100049450275,系列：酷睿i5,￥1029.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400,商品编号：100049450205,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7600X 处理器,商品编号：100039537655,系列：锐龙 R5,￥1299.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙9 7950X 处理器,商品编号：100039537667,系列：锐龙 R9,￥3469.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 8600G,商品编号：100091921754,系列：锐龙 R5,￥1249.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-10400F,商品编号：100006897507,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔245K,商品编号：100145512964,系列：酷睿Ultra 5,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-12700K,商品编号：100026922744,系列：酷睿i7,￥2049.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 8500G,商品编号：100085063819,系列：锐龙 R5,￥,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔265KF,商品编号：100120799085,系列：酷睿Ultra 7,￥2499.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600KF,商品编号：100069427196,系列：酷睿i5,￥1449.00,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 7 9700X,商品编号：100109234839,系列：锐龙 R7,￥2059.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-12600KF,商品编号：100026951642,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700KF,商品编号：100070072259,系列：酷睿i7,￥2399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔 i5-12490F,商品编号：100037299996,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7500F,商品编号：100059227024,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13490F,商品编号：100044164608,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙5 5600GT,商品编号：100085063817,系列：锐龙 R5,￥829.00京东价,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9950X,商品编号：100110580223,系列：锐龙 R9,￥4399.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 5 9600X,商品编号：100110580225,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔265K,商品编号：100120799071,系列：酷睿Ultra 7,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700X,商品编号：100020455567,系列：锐龙 R7,组合价￥暂无报价,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙7 5700G,商品编号：100012989117,系列：锐龙 R7,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900K,商品编号：100070072275,系列：酷睿i9,￥3399.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔285K,商品编号：100145512952,系列：酷睿Ultra 9,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMD锐龙7 7800X3D,商品编号：100046394400,系列：锐龙 R7,￥3199.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙 9 9900X,商品编号：100110580201,系列：锐龙 R9,￥3049.00,AMD京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5600,商品编号：100035814972,系列：锐龙 R5,组合价￥暂无报价,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i9-14900KF,商品编号：100069427204,系列：酷睿i9,￥3199.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i7-14700K,商品编号：100070072261,系列：酷睿i7,￥2798.90,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 5500,商品编号：100020455565,系列：锐龙 R5,￥459.00,AMD京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-14600K,商品编号：100070072273,系列：酷睿i5,￥1799.00,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400F,商品编号：100049450275,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔i5-13400,商品编号：100049450205,系列：酷睿i5,￥,英特尔京东自营旗舰店
品牌： AMD,商品名称：AMDAMD 锐龙5 7600X 处理器,商品编号：100039537655,系列：锐龙 R5,￥1299.00,AMD京东自营旗舰店
