品牌,商品名称,商品编号,价格,店铺名称
品牌： 讯景（XFX）,商品名称：讯景RX 6750 GRE,商品编号：100070862384,￥2599.00,XFX讯景京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹RTX显卡,商品编号：100187661752,￥15999.00,七彩虹京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N4060GAMING OC-8GD,商品编号：100056046116,￥2749.00,技嘉京东自营官方旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N4060EAGLE OC-8GD,商品编号：100091929767,￥2649.00,技嘉京东自营官方旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N507TGAMING OC-16GD,商品编号：100188447084,￥8999.00,技嘉京东自营官方旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N3060GAMING,商品编号：100022510770,￥,技嘉京东自营官方旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX9070XT,商品编号：100183080274,￥,XFX讯景京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹RTX显卡,商品编号：100152862177,￥9999.00,七彩虹京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N407SGAMING OC-12GD,商品编号：100082412965,￥5699.00,技嘉京东自营官方旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RX 6750 GRE,商品编号：100178361092,￥2999.00,华硕京东自营旗舰店
品牌： 昂达（ONDA）,商品名称：昂达R5 220典范2GD3 V5,商品编号：100043914118,￥,昂达（ONDA）京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通RX 7800XT-16GD6 樱瞳花嫁,商品编号：100066941053,￥4299.00,盈通京东自营旗舰店
品牌： 瀚铠（VASTARMOR）,商品名称：瀚铠RX 7700 XT,商品编号：100117926112,￥,瀚铠（VASTARMOR）显卡京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹RTX显卡,商品编号：100187661740,￥15999.00,七彩虹京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N5080GAMING OC-16GD,商品编号：100180790616,￥11499.00,技嘉京东自营官方旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 4060 Ti,商品编号：100059893460,￥,华硕京东自营旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 4060 Ti,商品编号：100055600050,￥,华硕京东自营旗舰店
品牌： 瀚铠（VASTARMOR）,商品名称：瀚铠RX 7700 XT,商品编号：100092285381,￥3249.00,瀚铠（VASTARMOR）显卡京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-R78XTGAMING OC-16GD,商品编号：100067093969,￥,技嘉京东自营官方旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX9070XT,商品编号：100145837565,￥6199.00,XFX讯景京东自营旗舰店
品牌： 撼讯,商品名称：撼讯RX6750GRE竞技,商品编号：100073736024,￥,撼讯京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N3060GAMING OC-8GD,商品编号：100050745504,￥,技嘉京东自营官方旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 5070 Ti,商品编号：100187310368,￥8899.00,华硕京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通RX6500XT-4GD6 大地之神 GA,商品编号：100017905037,￥1399.00,盈通京东自营旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX 7900 XTX,商品编号：100064725990,￥,XFX讯景京东自营旗舰店
品牌： 蓝戟,商品名称：蓝戟B580,商品编号：100161128196,￥2419.00,蓝戟京东自营旗舰店
品牌： 昂达（ONDA）,商品名称：昂达GT730K典范4GD3 V5,商品编号：100043669768,￥,昂达（ONDA）京东自营旗舰店
品牌： 铭瑄（MAXSUN）,商品名称：铭瑄MS-RTX3050 TR 6G,商品编号：100128764447,￥1899.00,铭瑄京东自营旗舰店
品牌： 蓝戟,商品名称：蓝戟A380,商品编号：100029502347,￥1599.00,蓝戟京东自营旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX 7800 XT,商品编号：100114054982,￥4099.00,XFX讯景京东自营旗舰店
品牌： 英特尔（Intel）,商品名称：英特尔锐炫 B580,商品编号：100161730444,￥2049.00,英特尔京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹RTX显卡,商品编号：100058440294,￥2899.00,七彩虹京东自营旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RX 7650 GRE,商品编号：100184553392,￥2900.00,华硕京东自营旗舰店
品牌： 华硕（ASUS）,商品名称：华硕DUAL-RTX3060-O12G-V2,商品编号：100022014706,￥7000.00,华硕京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-R77XTGAMING OC-12GD,商品编号：100064953926,￥3499.00,技嘉京东自营官方旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 3050,商品编号：100093637982,￥1989.00,华硕京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通YESTON RX6600-8GD6 大地之神,商品编号：100014916181,￥1699.00,盈通京东自营旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX 7900 XT,商品编号：100183080258,￥4899.00,XFX讯景京东自营旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX 7900 XT,商品编号：100123448831,￥5399.00,XFX讯景京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹GeForce RTX 4060Ti,商品编号：100058595037,￥3649.00,七彩虹京东自营旗舰店
品牌： 撼讯,商品名称：撼讯6750GRE 10G,商品编号：100113222028,￥,撼讯京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N507TAORUS M-16GD,商品编号：100188447066,￥9999.00,技嘉京东自营官方旗舰店
品牌： 盈通（yeston）,商品名称：盈通Yeston GT710-2G D3 战神,商品编号：100026913187,￥299.00,盈通京东自营旗舰店
品牌： 蓝戟,商品名称：蓝戟B580,商品编号：100161128230,￥2199.00,蓝戟京东自营旗舰店
品牌： 蓝宝石（Sapphire）,商品名称：蓝宝石RX 7900 XTX,商品编号：100125602475,￥7799.00,
品牌： 昂达（ONDA）,商品名称：昂达GT730K典范2GD3-LP V5,商品编号：100053234167,￥449.00,昂达（ONDA）京东自营旗舰店
品牌： 蓝戟,商品名称：蓝戟A380,商品编号：100112408897,￥899.00,蓝戟京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通GTX1050Ti 4G D5大地之神,商品编号：4194678,￥,盈通京东自营旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 4060,商品编号：100059893522,￥3899.00,华硕京东自营旗舰店
品牌： 微星（MSI）,商品名称：微星RTX 4060,商品编号：100063706856,￥2599.00,微星京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N507TEAGLEOC ICE-16GD,商品编号：100149413507,￥8899.00,技嘉京东自营官方旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX9070,商品编号：100183080308,￥4999.00,XFX讯景京东自营旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 5070,商品编号：100148658393,￥7799.00,华硕京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹GeForce RTX 4060Ti,商品编号：100058595041,￥3899.00,七彩虹京东自营旗舰店
品牌： 昂达（ONDA）,商品名称：昂达GT730K典范4GD3-LP V6,商品编号：100117548327,￥319.00,昂达（ONDA）京东自营旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX 7900 XT,商品编号：100064725988,￥5299.00,XFX讯景京东自营旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX9070XT,商品编号：100192143060,￥5999.00,XFX讯景京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N4060OC-8GL,商品编号：100062524658,￥,技嘉京东自营官方旗舰店
品牌： 铭瑄（MAXSUN）,商品名称：铭瑄MS-Milestone Arc B580 12G,商品编号：100161279308,￥2150.00,铭瑄京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通RX6500XT-4G D6极速版,商品编号：100053063406,￥1199.00,盈通京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N406TAERO OC-8GD,商品编号：100058948825,￥3749.00,技嘉京东自营官方旗舰店
品牌： 盈通（yeston）,商品名称：盈通GT 1030,商品编号：100118810721,￥469.00,盈通京东自营旗舰店
品牌： 瀚铠（VASTARMOR）,商品名称：瀚铠7600,商品编号：100076036131,￥2099.00,瀚铠（VASTARMOR）显卡京东自营旗舰店
品牌： 翔升（ASL）,商品名称：翔升RTX4070TI SUPER,商品编号：100141572355,￥6489.00,翔升京东自营旗舰店
品牌： 磐镭,商品名称：磐镭6650XT,商品编号：100131848007,￥1699.00,磐镭京东自营旗舰店
品牌： 昂达（ONDA）,商品名称：昂达GT1030典范2GD5-V5,商品编号：100044645372,￥649.00,昂达（ONDA）京东自营旗舰店
品牌： 昂达（ONDA）,商品名称：昂达GT1030典范4GD4-LP V5,商品编号：100077753049,￥599.00,昂达（ONDA）京东自营旗舰店
品牌： 蓝戟,商品名称：蓝戟A380,商品编号：100123396963,￥899.00,蓝戟京东自营旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 5070,商品编号：100148658389,￥7899.00,华硕京东自营旗舰店
品牌： 磐镭,商品名称：磐镭RX6650XT,商品编号：100041713378,￥2099.00,磐镭京东自营旗舰店
品牌： 丽台（LEADTEK）,商品名称：丽台A400,商品编号：100109747849,￥1389.00,丽台京东自营旗舰店
品牌： 瀚铠（VASTARMOR）,商品名称：瀚铠6500XT,商品编号：100129436273,￥999.00,瀚铠（VASTARMOR）显卡京东自营旗舰店
品牌： 铭瑄（MAXSUN）,商品名称：铭瑄（MAXSUN）MS-RTX4060Ti iCraft OC8G 瑷珈X2,商品编号：100153014437,￥3999.00,铭瑄京东自营旗舰店
品牌： 蓝戟,商品名称：蓝戟A750,商品编号：100120753462,￥1699.00,蓝戟京东自营旗舰店
品牌： 微星（MSI）,商品名称：微星5070,商品编号：100193118864,￥8599.00,微星京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通Yeston GT730-4G 4HDMI,商品编号：100018745240,￥799.00,盈通京东自营旗舰店
品牌： 撼讯,商品名称：撼讯7700XT,商品编号：100135561904,￥2999.00,撼讯京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通盈通 RTX 3050 6G 极速版,商品编号：100091649518,￥1599.00,盈通京东自营旗舰店
品牌： 撼讯,商品名称：撼讯RX 7700XT,商品编号：100067342627,￥3799.00,撼讯京东自营旗舰店
品牌： 丽台（LEADTEK）,商品名称：丽台A2000 12G,商品编号：100077681751,￥4499.00,丽台京东自营旗舰店
品牌： 磐镭,商品名称：磐镭R5-220,商品编号：100163287270,￥149.00,磐镭京东自营旗舰店
